element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,ug,,,,
extentUnits,document,model extent unit,ug,,,,
timeUnits,document,model time unit,d,,,,
volumeUnits,document,model volume unit,L,,,,
default_compartment,compartment,,L,rdf,BQM_IS,,
Liver,compartment,liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Kidney,compartment,kidney,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00557,
Others,compartment,other tissues,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Creatinine,compartment,,L,rdf,BQM_IS,-,
Feces,compartment,feces,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00555,
Urine,compartment,urine,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00556,
Intestine,compartment,intestine,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00478,
Gut,compartment,gut,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Lung,compartment,lung,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00559,
Expo,compartment,total systemic exposure,L,rdf,BQM_IS,,
Excretion,compartment,excreta,L,rdf,BQM_IS,,
Blood1,compartment,plasma,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Blood2,compartment,red blood cells,L,rdf,BQM_IS,-,
Blood3,compartment,metallothionein,L,rdf,BQM_IS,-,
QGut,species,Amount in gut,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
QGut,species,,,rdf,BQB_IS,,
QLiver,species,Amount in liver,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
QLiver,species,,,rdf,BQB_IS,,
QKidney,species,Amount in kidney,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00498,
QKidney,species,,,rdf,BQB_IS,,
QExpo,species,,ug,rdf,BQM_IS,,
QExpo,species,,,rdf,BQB_IS,,
QLung,species,Amount in lungs,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00504,
QLung,species,,,rdf,BQB_IS,,
