idModelInstance,Parameter,Value,Unit,Description,Reference
PBK_Cd_Human_Cui2026,BWa,88.0,kg,average bodyweight,
PBK_Cd_Human_Cui2026,BWl,88.0,kg,age-dependent bodyweight,
PBK_Cd_Human_Cui2026,year,35.0,y,Age,
PBK_Cd_Human_Cui2026,FVB,0.067,dimensionless,Fractional total blood volume,
PBK_Cd_Human_Cui2026,Iwa,1.8,kg,Average adult liver weight,
PBK_Cd_Human_Cui2026,FVLB,0.11,dimensionless,Fractional Liver Blood volume,
PBK_Cd_Human_Cui2026,kwa,0.31,kg,Average adult kidney weight,
PBK_Cd_Human_Cui2026,FVKB,0.36,dimensionless,Fractional kidney blood volume,
PBK_Cd_Human_Cui2026,FVRBB,0.02182,dimensionless,Fractional RB blood volume,
PBK_Cd_Human_Cui2026,FQL,0.25,dimensionless,fraction of blood flow to liver,
PBK_Cd_Human_Cui2026,FQK,0.19,dimensionless,fraction of blood flow to kidney,
PBK_Cd_Human_Cui2026,C1,0.1,dimensionless,Fraction of inhaled Cd that is deposited in nasopharyngeal and tracheobronchial regions but ending up being orally ingested,
PBK_Cd_Human_Cui2026,C5,0.05,dimensionless,Fraction of Cd in GI tract to be absorbed,
PBK_Cd_Human_Cui2026,C7,0.25,dimensionless,Fraction of Cd absorbed as CdMT,
PBK_Cd_Human_Cui2026,C3,0.05,/d,Rate constant of absorption of Cd in Lung to ETB,
PBK_Cd_Human_Cui2026,C4,0.005,/d,Rate constant of transfer of Cd in Lung to GI-tract,
PBK_Cd_Human_Cui2026,C6,0.05,/d,Rate constant of absorption of Cd in Intestine lumen to Liver Blood,
PBK_Cd_Human_Cui2026,C8,1.0,/d,Maximum CdMT absorption rate,
PBK_Cd_Human_Cui2026,k5,20.0,/d,Rate constant of dissociation of plasma protein-bound Cd (CdPP) into Free Cd and PP,
PBK_Cd_Human_Cui2026,k6,80.0,/d,Rate constant of association of Free Cd and PP to form CdPP,
PBK_Cd_Human_Cui2026,CX,4.0,/d,Rate constant of sequestration of Free Cd into RBC,
PBK_Cd_Human_Cui2026,C16,0.012,/d,Rate constant of CdRBC turnover,
PBK_Cd_Human_Cui2026,f9,5e-07,dimensionless,Coefficient of CdMT efflux from Liver Tissue to Liver Blood relative to Liver Blood flow,
PBK_Cd_Human_Cui2026,f10,1.98e-08,dimensionless,Coefficient of Free Cd efflux from Liver Tissue to Liver Blood relative to Liver Blood flow,
PBK_Cd_Human_Cui2026,f11,0.65,dimensionless,Coefficient of Free Cd influx from Liver Blood to Liver Tissue relative to Liver Blood flow,
PBK_Cd_Human_Cui2026,k12,20.0,/d,Rate constant of dissociation of CdMT into Free Cd and MT in Liver Tissue,
PBK_Cd_Human_Cui2026,k13,667.0,/d,Rate constant of association of Free Cd and MT to form CdMT in Liver Tissue,
PBK_Cd_Human_Cui2026,C15,0.00165,/d,Rate constant of Free Cd excretion from Liver Tissue to feces via bile,
PBK_Cd_Human_Cui2026,f15,0.023,dimensionless,Coefficient of CdMT filtration from Kidney Blood to Filtrate relative to Kidney Blood flow,
PBK_Cd_Human_Cui2026,f16,0.099,dimensionless,Coefficient of Free Cd filtration from Kidney Blood to Filtrate relative to Kidney Blood flow,
PBK_Cd_Human_Cui2026,C17x,0.95,/d,Age-dependent rate constant of CdMT reabsorption from Filtrate to Kidney Tissue,
PBK_Cd_Human_Cui2026,k18,1.0,/d,Rate constant of Free Cd excretion from Filtrate to urine,
PBK_Cd_Human_Cui2026,C21,7.7e-07,,Coefficient of increase of rate constant of Free Cd and CdMT excretion from Kidney Tissue to urine for age >30 (unit in /d y),
PBK_Cd_Human_Cui2026,C19x,9.8e-05,/d,Age-dependent rate constant of Free Cd and CdMT excretion from Kidney Tissue to urine,
PBK_Cd_Human_Cui2026,k20,20.0,/d,Rate constant of dissociation of CdMT in Kidney Tissue into Free Cd and MT in Kidney Tissue,
PBK_Cd_Human_Cui2026,k21,11.11,/d,Rate constant of association of Free Cd and MT to form CdMT in Kidney Tissue,
PBK_Cd_Human_Cui2026,f22,4e-09,dimensionless,Coefficient of Free Cd efflux from Kidney Tissue to Kidney Blood relative to Kidney Blood flow,
PBK_Cd_Human_Cui2026,f23,2e-05,dimensionless,Coefficient of Free Cd efflux from RB Tissue to RB Blood relative to RB Blood flow,
PBK_Cd_Human_Cui2026,f24,1.0,dimensionless,Coefficient of Free Cd influx from RB Blood to RB Tissue relative to RB Blood flow,
PBK_Cd_Human_Cui2026,C11,0.0001,/d,Rate constant of Cd excretion from RB Tissue to feces representing fecal Cd sourced from intestine excretion and intestine wall sloughing,
PBK_Cd_Human_Cui2026,PP,1.0,dimensionless,Free plasma protein,
PBK_Cd_Human_Cui2026,RBC,1.0,dimensionless,Free red blood cells,
PBK_Cd_Human_Cui2026,MTL,1.0,dimensionless,Free Metallothionine in Liver Tissue,
PBK_Cd_Human_Cui2026,MTK,1.0,dimensionless,Free Metallothionine in Kidney Tissue,
