element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,ng,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,d,,,,
volumeUnits,document,model volume unit,L,,,,
Cd_mod_v3,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_22978,
Cd_mod_v3,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
LungComp,compartment,lung compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00559,
GUT_LUMENComp,compartment,gut lumen compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00478,
INTESTINE_TISSUEComp,compartment,intestinal tissue compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_02004,
PlasmaComp,compartment,plasma compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
RBCComp,compartment,red blood cell compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00634,
MTComp,compartment,Metallothionein compartment,L,rdf,BQM_IS,,
LiverComp,compartment,liver compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
KidneyComp,compartment,kidney compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00557,
OtherComp,compartment,rest of body compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
FecesComp,compartment,feces compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00555,
UrineComp,compartment,urine compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00556,
LUNG,species,amount in lung,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00504,
LUNG,species,,,rdf,BQB_IS,,
GUT_LUMEN,species,amount in lumen,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06009,
GUT_LUMEN,species,,,rdf,BQB_IS,,
INTESTINE_TISSUE,species,amount in intestinal tissue,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06015,
INTESTINE_TISSUE,species,,,rdf,BQB_IS,,
PLASMA,species,amount in plasma,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
PLASMA,species,,,rdf,BQB_IS,,
RBC,species,amount in red blood cells,ug,rdf,BQM_IS,,
RBC,species,,,rdf,BQB_IS,,
META,species,amount in metallothionein,ug,rdf,BQM_IS,,
META,species,,,rdf,BQB_IS,,
LIVER,species,amount in liver,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
LIVER,species,,,rdf,BQB_IS,,
KIDNEY,species,amount in kidney,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00498,
KIDNEY,species,,,rdf,BQB_IS,,
OTHER,species,amount in restbody,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
OTHER,species,,,rdf,BQB_IS,,
FECES,species,cumulative amount in feces,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00275,
FECES,species,,,rdf,BQB_IS,,
URINE,species,cumulative amount in urine,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00274,
URINE,species,,,rdf,BQB_IS,,
k1_cig,parameter,Respiratory deposition to GI from smoke,UNITLESS,rdf,BQM_IS,,
k1_cig,parameter,,,rdf,BQB_IS,,
k1_dust,parameter,Respiratory deposition to GI from dust,UNITLESS,rdf,BQM_IS,,
k1_dust,parameter,,,rdf,BQB_IS,,
k2_cig,parameter,Respiratory deposition to lung from smoke,UNITLESS,rdf,BQM_IS,,
k2_cig,parameter,,,rdf,BQB_IS,,
k2_dust,parameter,Respiratory deposition to lung from dust,UNITLESS,rdf,BQM_IS,,
k2_dust,parameter,,,rdf,BQB_IS,,
k3,parameter,First-order transfer rate constant from lung to total systemic uptake,/d,rdf,BQM_IS,,
k3,parameter,,,rdf,BQB_IS,,
k4,parameter,First-order transfer rate constant from lung to GI,/d,rdf,BQM_IS,,
k4,parameter,,,rdf,BQB_IS,,
kabs,parameter,First-order rate constant (added explicitly for unit consistency),/d,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_03075,
kabs,parameter,,,rdf,BQB_IS,,
k5_h,parameter,Fraction of absorbed Cd in gut transferred to intestine in males,UNITLESS,rdf,BQM_IS,,
k5_h,parameter,,,rdf,BQB_IS,,
k5_f,parameter,Fraction of absorbed Cd in gut transferred to intestine in females,UNITLESS,rdf,BQM_IS,,
k5_f,parameter,,,rdf,BQB_IS,,
k6,parameter,First-order transfer rate constant from intestine to total systemic uptake,/d,rdf,BQM_IS,,
k6,parameter,,,rdf,BQB_IS,,
k7,parameter,Fraction of total systemic Cd uptake to the metallothionein,UNITLESS,rdf,BQM_IS,,
k7,parameter,,,rdf,BQB_IS,,
k8,parameter,Maximum Cd flux into the metallothionein,ug/d,rdf,BQM_IS,,
k8,parameter,,,rdf,BQB_IS,,
k_MT_out,parameter,First-order turnover rate constant for MT-bound Cd (added explicitly for unit consistency),/d,rdf,BQM_IS,,
k_MT_out,parameter,,,rdf,BQB_IS,,
