idModelInstance,Parameter,Value,Unit,Description,Reference
Cd_mod_v3_PARAM,k3,0.05,/d,First-order transfer rate constant from lung to total systemic uptake,
Cd_mod_v3_PARAM,k4,0.005,/d,First-order transfer rate constant from lung to GI,
Cd_mod_v3_PARAM,kabs,1.0,/d,First-order rate constant (added explicitly for unit consistency),
Cd_mod_v3_PARAM,k5_h,0.05,dimensionless,Fraction of absorbed Cd in gut transferred to intestine in males,
Cd_mod_v3_PARAM,k5_f,0.1,dimensionless,Fraction of absorbed Cd in gut transferred to intestine in females,
Cd_mod_v3_PARAM,k6,0.05,/d,First-order transfer rate constant from intestine to total systemic uptake,
Cd_mod_v3_PARAM,k7,0.25,dimensionless,Fraction of total systemic Cd uptake to the metallothionein,
Cd_mod_v3_PARAM,k8,1.0,ug/d,Maximum Cd flux into the metallothionein,
Cd_mod_v3_PARAM,k_MT_out,1.0,/d,First-order turnover rate constant for MT-bound Cd (added explicitly for unit consistency),
Cd_mod_v3_PARAM,k9,0.44,/d,kinetic constant rate PLASMA -> OTHER tissues,
Cd_mod_v3_PARAM,k10,0.00014,/d,kinetic constant rate OTHER tissues -> PLASMA,
Cd_mod_v3_PARAM,k11,0.27,/d,kinetic constant rate PLASMA -> feces,
Cd_mod_v3_PARAM,k12,0.25,/d,kinetic constant rate PLASMA -> liver,
Cd_mod_v3_PARAM,k13,3e-05,/d,kinetic constant rate liver -> PLASMA,
Cd_mod_v3_PARAM,k14,0.00016,/d,kinetic constant rate liver -> MT pool,
Cd_mod_v3_PARAM,k15,5e-05,/d,kinetic constant rate liver -> feces,
Cd_mod_v3_PARAM,kx,0.04,/d,kinetic constant rate PLASMA -> RBC,
Cd_mod_v3_PARAM,k16,0.012,/d,kinetic constant rate RBC-> MT pool,
Cd_mod_v3_PARAM,k17,0.95,dimensionless,Fraction of MT-bound Cd removal to KIDNEY; remainder goes directly to urine.,
Cd_mod_v3_PARAM,k18,1e-05,/d,kinetic constant rate KIDNEY -> PLASMA,
Cd_mod_v3_PARAM,k19,0.00014,/d,urine elimination rate constant,
Cd_mod_v3_PARAM,k21,1.1e-06,,Age-dependent increase in kidney-to-urine elimination after age 30,
Cd_mod_v3_PARAM,k20,0.1,dimensionless,Fraction of PLASMA + META Cd amounts to calculated whole-blood Cd,
Cd_mod_v3_PARAM,sex,2.0,dimensionless,,
Cd_mod_v3_PARAM,Age,30,y,,
Cd_mod_v3_PARAM,Delta_BWs3,1,dimensionless,,
Cd_mod_v3_PARAM,Delta_creat,1,,,
Cd_mod_v3_PARAM,Ccord,0.0,,,
