element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,ug,,,,
extentUnits,document,model extent unit,ug,,,,
timeUnits,document,model time unit,d,,,,
volumeUnits,document,model volume unit,L,,,,
Cd_non_lifetime,model,,,rdf,BQB_HAS_TAXON,http://identifiers.org/taxonomy/40674,
Liver,compartment,liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Kidney,compartment,kidney,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00557,
Others,compartment,Rest of the body,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Feces,compartment,feces,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00555,
Urine,compartment,urine,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00556,
Gut,compartment,gut,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Lung,compartment,lung,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00559,
Plasma,compartment,blood plasma,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
RBC,compartment,red blood cells,L,rdf,BQM_IS,,
Metallothionein,compartment,metallothionein,L,rdf,BQM_IS,,
AGut,species,amount of chemical in gut,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGut,species,,,rdf,BQB_IS,,
ALung,species,Amount in lungs,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00504,
ALung,species,,,rdf,BQB_IS,,
ALiver,species,amount of chemical in liver,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,,
AKidney,species,amount of chemical in kidney,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00498,
AKidney,species,,,rdf,BQB_IS,,
AUrine,species,Amount in urine,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00272,
AUrine,species,,,rdf,BQB_IS,,
AFeces,species,Amount in feces,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00273,
AFeces,species,,,rdf,BQB_IS,,
