Parameter,Value,Unit,Description,Reference
QAir,0,,,
Sex,1,dimensionless,sex,
DeltaBW,1,,,
Age_init,0,y,,
CIngestion,0,,,
QtCig,1,,Quantity of Cd in 1 cigarette,
C1_cig,0,,,
C1_dust,0,,,
C2_cig,0,,,
C2_dust,0,,,
C3,0.05,/d,Rate of transfer of inhalation intake to uptake pool,
C4,0.005,/d,Rate of transfer of air Cd to the GI-tract,
C5,0.048,dimensionless,Fraction of GI-tract Cd retained in epithelium,
C6,0.05,/d,Rate of transfer of Cd in the GI-tract to uptake pool,
C7,0.25,dimensionless,Fraction of uptake pool transferred to blood,
C8,1000,ug,Maximum mass of Cd in uptake pool,
C9,0.44,/d,Rate of transfer from plasma to other tissues,
C10,0.00014,/d,Rate of transfer of Cd in other tissues to plasma,
C11,0.27,/d,Rate of transfer of Cd in plasma to feces,
C12,0.25,/d,Rate of transfer of Cd in plasma to liver,
C13,0.00003,/d,Rate of transfer of Cd in liver to plasma,
C14,0.00016,/d,Rate of transfer of Cd in liver to metallothionein,
C15,0.00005,/d,Rate of transfer of Cd in liver to feces,
C16,0.012,/d,Rate of transfer of Cd in blood red blodd cells to metallothionein,
C18,0.00001,/d,Rate of transfer of Cd in kidney to plasma,
C21,0.0000011,,Increased transfer of Cd from kidney to urine after age 30,
C20,0.1,dimensionless,Fraction of Cd in plasma and red blood cells that contribute to cadmium in whole blood,
CX,0.04,/d,Rate of transfer of Cd in B1 to blood B2,
