idModelInstance,Parameter,Value,Unit,Description
PBK_Cd_PARAM,DeltaBW,1,dimensionless,Variability on bodyweight
PBK_Cd_PARAM,Fabs,0.048,/d,Fraction absorbed in intestine
PBK_Cd_PARAM,Ka,0.05,/d,Transfer from intestine to total uptake
PBK_Cd_PARAM,K_Inhalation_Uptake,0.05,/d,Transfer from lung to total intake
PBK_Cd_PARAM,K_Lung_Intestine,0.005,/d,Rate of absorption from Lung to intestine
PBK_Cd_PARAM,F_Uptake_Metallothionein,0.25,dimensionless,Fraction of uptake pool transferred to metallothionein
PBK_Cd_PARAM,Max_Metallothionein,1,ug/d,Maximal dose in metallothionein added daily
PBK_Cd_PARAM,K_Plasma_Others,0.44,/d,Transfer from plasma to the rest of the body
PBK_Cd_PARAM,K_Others_Plasma,0.00014,/d,Transfer from rest of the body to plasma
PBK_Cd_PARAM,K_Plasma_Feces,0.27,/d,Transfer from plasma to feces
PBK_Cd_PARAM,K_Plasma_Liver,0.25,/d,Transfer from plasma to liver
PBK_Cd_PARAM,K_Liver_Plasma,0.00003,/d,Transfer from liver to plasma
PBK_Cd_PARAM,K_Liver_Metallothionein,0.00016,/d,Transfer from liver to metallothionein
PBK_Cd_PARAM,K_Liver_Feces,0.00005,/d,Transfer from liver to feces
PBK_Cd_PARAM,K_RBC_Metallothionein,0.012,/d,Transfer from reb blood cells to metallothionein
PBK_Cd_PARAM,K_Kidney_Plasma,0.00001,/d,Transfer from kidney to plasma
PBK_Cd_PARAM,Increase_Cd_Urine,0.0000011,/d,Temporal factor increasing Cd elimination in urine
PBK_Cd_PARAM,K_Plasma_RBC,0.04,/d,Transfer from plasma to red blood cells
PBK_Cd_PARAM,VLiverc,0.025,dimensionless,Fraction of volume of liver
PBK_Cd_PARAM,VKidneyc,0.004,dimensionless,Fraction of volume of kidney
PBK_Cd_PARAM,VGutc,0.0182,dimensionless,Fraction of volume of gut
PBK_Cd_PARAM,VLungc,0.0068,dimensionless,Fraction of volume of lung
PBK_Cd_PARAM,VBloodc,0.076,dimensionless,Fraction of volume of blood
PBK_Cd_PARAM,HCT,0.425,dimensionless,Hematocrit
